"Week","Long-term care users (% of all deaths that week)","Rest of the population (% of all deaths that week)"
"10","0","0"
"11","1","1"
"12","11","11"
"13","28","28"
"14","45","32"
"15","52","28"
"16","49","20"
"17","42","17"
"18","32","11"
"19","26","7"
"20","17","6"
"21","14","4"
"22","10","3"
"23","7","2"
"24","4","1"
"25","3","1"
"26","2","1"
"27","2","1"
"28","2","0"
"29","1","0"
"30","1","0"
"31","1","1"
"32","2","1"
"33","3","1"
"34","3","1"
"35","2","1"
"36","2","1"
"37","2","1"
"38","5","1"
"39","8","3"
"40","10","4"
"41","14","6"
"42","20","10"
"43","25","14"
"44","32","17"
"45","36","18"
"46","30","16"
"47","27","15"
"48","27","14"
"49","25","13"
"50","28","13"
"51","35","16"
"52","39","20"
"53","36","20"
