iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million
USA,North America,United States,2020/1/22,1,,,,,,0.003
USA,North America,United States,2020/1/23,1,0,,,,,0.003
USA,North America,United States,2020/1/24,2,1,,,,,0.006
USA,North America,United States,2020/1/25,2,0,,,,,0.006
USA,North America,United States,2020/1/26,5,3,,,,,0.015
USA,North America,United States,2020/1/27,5,0,,,,,0.015
USA,North America,United States,2020/1/28,5,0,0.571,,,0,0.015
USA,North America,United States,2020/1/29,6,1,0.714,,,0,0.018
USA,North America,United States,2020/1/30,6,0,0.714,,,0,0.018
USA,North America,United States,2020/1/31,8,2,0.857,,,0,0.024
USA,North America,United States,2020/2/1,8,0,0.857,,,0,0.024
USA,North America,United States,2020/2/2,8,0,0.429,,,0,0.024
USA,North America,United States,2020/2/3,11,3,0.857,,,0,0.033
USA,North America,United States,2020/2/4,11,0,0.857,,,0,0.033
USA,North America,United States,2020/2/5,11,0,0.714,,,0,0.033
USA,North America,United States,2020/2/6,12,1,0.857,,,0,0.036
USA,North America,United States,2020/2/7,12,0,0.571,,,0,0.036
USA,North America,United States,2020/2/8,12,0,0.571,,,0,0.036
USA,North America,United States,2020/2/9,12,0,0.571,,,0,0.036
USA,North America,United States,2020/2/10,12,0,0.143,,,0,0.036
USA,North America,United States,2020/2/11,13,1,0.286,,,0,0.039
USA,North America,United States,2020/2/12,13,0,0.286,,,0,0.039
USA,North America,United States,2020/2/13,14,1,0.286,,,0,0.042
USA,North America,United States,2020/2/14,14,0,0.286,,,0,0.042
USA,North America,United States,2020/2/15,14,0,0.286,,,0,0.042
USA,North America,United States,2020/2/16,14,0,0.286,,,0,0.042
USA,North America,United States,2020/2/17,14,0,0.286,,,0,0.042
USA,North America,United States,2020/2/18,14,0,0.143,,,0,0.042
USA,North America,United States,2020/2/19,14,0,0.143,,,0,0.042
USA,North America,United States,2020/2/20,14,0,0,,,0,0.042
USA,North America,United States,2020/2/21,16,2,0.286,,,0,0.048
USA,North America,United States,2020/2/22,16,0,0.286,,,0,0.048
USA,North America,United States,2020/2/23,16,0,0.286,,,0,0.048
USA,North America,United States,2020/2/24,16,0,0.286,,,0,0.048
USA,North America,United States,2020/2/25,16,0,0.286,,,0,0.048
USA,North America,United States,2020/2/26,16,0,0.286,,,0,0.048
USA,North America,United States,2020/2/27,17,1,0.429,,,0,0.051
USA,North America,United States,2020/2/28,17,0,0.143,,,0,0.051
USA,North America,United States,2020/2/29,25,8,1.286,1,1,0.143,0.076
USA,North America,United States,2020/3/1,32,7,2.286,1,0,0.143,0.097
USA,North America,United States,2020/3/2,55,23,5.571,6,5,0.857,0.166
USA,North America,United States,2020/3/3,74,19,8.286,7,1,1,0.224
USA,North America,United States,2020/3/4,107,33,13,11,4,1.571,0.323
USA,North America,United States,2020/3/5,184,77,23.857,12,1,1.714,0.556
USA,North America,United States,2020/3/6,237,53,31.429,14,2,2,0.716
USA,North America,United States,2020/3/7,403,166,54,17,3,2.286,1.218
USA,North America,United States,2020/3/8,519,116,69.571,21,4,2.857,1.568
USA,North America,United States,2020/3/9,594,75,77,22,1,2.286,1.795
USA,North America,United States,2020/3/10,782,188,101.143,28,6,3,2.363
USA,North America,United States,2020/3/11,1147,365,148.571,33,5,3.143,3.465
USA,North America,United States,2020/3/12,1586,439,200.286,43,10,4.429,4.792
USA,North America,United States,2020/3/13,2219,633,283.143,51,8,5.286,6.704
USA,North America,United States,2020/3/14,2978,759,367.857,58,7,5.857,8.997
USA,North America,United States,2020/3/15,3212,234,384.714,70,12,7,9.704
USA,North America,United States,2020/3/16,4679,1467,583.571,97,27,10.714,14.136
USA,North America,United States,2020/3/17,6512,1833,818.571,134,37,15.143,19.674
USA,North America,United States,2020/3/18,9169,2657,1146,194,60,23,27.701
USA,North America,United States,2020/3/19,13663,4494,1725.286,266,72,31.857,41.278
USA,North America,United States,2020/3/20,20030,6367,2544.429,372,106,45.857,60.513
USA,North America,United States,2020/3/21,26025,5995,3292.429,475,103,59.571,78.625
USA,North America,United States,2020/3/22,34898,8873,4526.571,596,121,75.143,105.431
USA,North America,United States,2020/3/23,46136,11238,5922.429,788,192,98.714,139.383
USA,North America,United States,2020/3/24,56755,10619,7177.571,1031,243,128.143,171.464
USA,North America,United States,2020/3/25,68837,12082,8524,1364,333,167.143,207.965
USA,North America,United States,2020/3/26,86693,17856,10432.857,1783,419,216.714,261.91
USA,North America,United States,2020/3/27,105383,18690,12193.286,2305,522,276.143,318.375
USA,North America,United States,2020/3/28,125013,19630,14141.143,2947,642,353.143,377.68
USA,North America,United States,2020/3/29,143912,18899,15573.429,3571,624,425,434.776
USA,North America,United States,2020/3/30,165987,22075,17121.571,4284,713,499.429,501.467
USA,North America,United States,2020/3/31,192301,26314,19363.714,5369,1085,619.714,580.965
USA,North America,United States,2020/4/1,224560,32259,22246.143,6652,1283,755.429,678.424
USA,North America,United States,2020/4/2,256792,32232,24299.857,8164,1512,911.571,775.8
USA,North America,United States,2020/4/3,289087,32295,26243.429,9595,1431,1041.429,873.368
USA,North America,United States,2020/4/4,321477,32390,28066.286,11158,1563,1173,971.222
USA,North America,United States,2020/4/5,351354,29877,29634.571,12773,1615,1314.571,1061.484
USA,North America,United States,2020/4/6,382747,31393,30965.714,14544,1771,1465.714,1156.326
USA,North America,United States,2020/4/7,413516,30769,31602.143,17119,2575,1678.571,1249.283
USA,North America,United States,2020/4/8,444731,31215,31453,19279,2160,1803.857,1343.587
